Season,Name,Invention_1,Mystery_1,Immunity_1,Elimination_1,Invention_2,Mystery_2,Immunity_2,Elimination_2,Invention_3,Mystery_3,Immunity_3,Elimination_3,Invention_4,Mystery_4,Immunity_4,Elimination_4,Invention_5,Mystery_5,Immunity_5,Elimination_5,Invention_6,Mystery_6,Immunity_6,Elimination_6,Invention_7,Mystery_7,Immunity_7,Elimination_7,Invention_8,Mystery_8,Immunity_8,Elimination_8,Invention_9,Mystery_9,Immunity_9,Elimination_9,Invention_10,Mystery_10,Immunity_10,Elimination_10,Invention_11,Mystery_11,Immunity_11,Elimination_11,Invention_12,Mystery_12,Immunity_12,Elimination_12,Invention_13,Mystery_13,Immunity_13,Elimination_13,Invention_14,Mystery_14,Immunity_14,Elimination_14,Invention_15,Mystery_15,Immunity_15,Elimination_15,Invention_16,Mystery_16,Immunity_16,Elimination_16,Invention_17,Mystery_17,Immunity_17,Elimination_17,Label
3,Jay,IN,None,None,Team Win,Win,None,Lose,Team Lose,IN,None,None,Team Win,Win,None,Lose,Immune,Btm,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,None,None,None,None,Elim
3,Andrew,IN,None,None,Team Win,IN,None,None,Btm,IN,None,None,Team Lose,Team Lose,None,None,Btm,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,None,None,None,None,Elim
3,Cleo,IN,None,None,Team Win,IN,None,None,Team Win,IN,None,None,Btm,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,None,None,None,None,Elim
3,Chelsea,IN,None,None,Team Win,IN,None,None,Team Win,Btm,None,None,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,None,None,None,None,Elim
3,Seamus,IN,None,None,Team Lose,IN,None,None,Btm,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,None,None,None,None,Elim
3,Alex,IN,None,None,Team Win,Btm,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,None,None,None,None,Elim
3,Tom,IN,None,None,Btm,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,None,None,None,None,Elim
4,Andy,None,IN,Lose,Team Win,IN,IN,None,Team Lose,IN,IN,None,Team Win,IN,Team 3rd,None,Btm,IN,IN,None,Team Win,IN,IN,None,Team Win,IN,IN,None,Team Lose,IN,None,None,Btm,IN,None,None,Team Lose,IN,Win,None,IN,None,None,None,Team Lose,None,None,None,IN,None,None,None,IN,None,None,None,Top,None,None,None,Win,None,None,None,None,None,None,None,None,Winner
4,Julia,None,IN,None,Team Win,IN,Win,Lose,Team Lose,Btm,Win,None,Btm,IN,Team 2nd,None,Team Win,IN,IN,None,Btm,IN,IN,None,Team Win,IN,IN,Lose,Btm,IN,None,None,Team Win,IN,None,None,Btm,IN,IN,None,Btm,None,None,None,Btm,None,None,None,IN,None,None,None,Btm,None,None,None,Top,None,None,None,Lose,None,None,None,None,None,None,None,None,Runner-Up
4,Audra,None,IN,None,Team Win,IN,IN,None,Team Win,IN,IN,Lose,Team Win,IN,Team 2nd,None,Team Win,Btm,IN,None,Team Win,Win,Win,Lose,Team Win,IN,IN,None,Team Win,IN,None,None,Team Lose,IN,None,None,Team Win,IN,IN,None,Btm,None,None,None,Team Win,None,None,None,Btm,None,None,None,IN,None,None,None,Btm,None,None,None,Lose,None,None,None,None,None,None,None,None,Top 5
4,Mindy,None,IN,None,Team Lose,Win,IN,Lose,Team Lose,Win,IN,Win,Team Win,IN,Team Win,None,Team Win,IN,IN,None,Team Win,IN,IN,None,Team Win,IN,IN,None,Team Lose,IN,None,None,Team Win,IN,None,None,Team Win,Win,IN,None,Immune,None,None,None,Team Lose,None,None,None,Btm,None,None,None,IN,None,None,None,Btm,Elim,Elim,Elim,Elim,None,None,None,None,None,None,None,None,Top 5
4,Ben,None,Win,Lose,Team Lose,IN,IN,None,Team Win,IN,IN,None,Team Win,IN,Team Win,None,Team Lose,IN,IN,None,Team Win,IN,IN,None,Btm,IN,IN,None,Team Win,IN,None,None,Team Win,IN,None,None,Team Lose,Btm,IN,None,IN,None,None,None,Team Win,None,None,None,IN,None,None,None,Btm,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,None,None,None,None,None,None,None,None,Top 5
4,Kylie,None,IN,None,Team Lose,IN,IN,None,Team Win,IN,IN,None,Team Win,IN,Team Win,None,Team Lose,IN,Win,None,Team Lose,IN,IN,Lose,Team Lose,IN,IN,None,Team Win,Win,None,Win,Team Win,IN,None,None,Team Win,IN,IN,None,Immune,None,None,None,Team Win,None,None,None,Btm,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,None,None,None,None,None,None,None,None,Elim
4,Alice,None,IN,None,Team Win,IN,IN,None,Team Lose,IN,IN,None,Team Lose,IN,Team 2nd,None,Team Win,Win,IN,Lose,Team Win,IN,IN,None,Team Win,IN,IN,None,Team Lose,IN,None,None,Team Win,IN,None,None,Team Lose,Btm,IN,None,Immune,None,None,None,Btm,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,None,None,None,None,None,None,None,None,Elim
4,Beau,None,IN,None,Team Lose,IN,IN,None,Team Win,IN,IN,None,Team Win,IN,Team Lose,None,Team Win,IN,IN,None,Team Win,IN,IN,None,Team Lose,IN,IN,None,Team Win,Btm,None,None,Team Win,IN,None,None,Team Win,Btm,IN,None,Btm,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,None,None,None,None,None,None,None,None,Elim
4,Wade,None,IN,None,Team Lose,Btm,IN,None,Team Win,IN,IN,None,Team Win,IN,Team Lose,None,Team Win,IN,IN,None,Team Win,Btm,IN,None,Team Lose,IN,Win,None,Team Win,IN,None,None,Team Lose,IN,None,None,Team Win,Btm,IN,None,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,None,None,None,None,None,None,None,None,Elim
